Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,26.9007,22.5525,22.4212,0.1313,22.0274,3.5582,3.2210,0.3372,35.0065,27.0727,NA,26.9007,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,49.4532,23.8998,23.7021,0.1977,23.4280,4.1355,3.5644,0.5711,39.5267,22.9234,-4.5202,49.4532,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,73.3530,26.6160,26.3374,0.2786,26.0269,3.7617,2.7707,0.9910,38.5503,27.1227,0.9764,73.3530,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,99.9690,26.8539,26.4401,0.4138,26.0733,4.3589,3.5650,0.7939,39.0570,29.1451,-0.5067,99.9690,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,126.8229,25.1822,24.9417,0.2405,24.5074,4.7760,3.8516,0.9244,41.3482,20.8279,-2.2912,126.8229,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,152.0051,23.7557,23.5579,0.1978,22.8577,3.6060,2.7221,0.8839,36.9939,24.9902,4.3543,152.0051,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,175.7608,24.9713,24.7745,0.1968,24.1376,3.6851,3.0241,0.6610,38.2284,25.0067,-1.2345,175.7608,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,200.7321,23.6317,23.4693,0.1624,22.9991,3.3425,3.0397,0.3028,38.2638,20.8532,-0.0354,200.7321,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,224.3638,23.3039,23.1164,0.1875,22.7193,3.8713,3.2277,0.6436,35.4853,25.0069,2.7785,224.3638,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,247.6677,23.5618,23.3859,0.1759,23.0974,3.4167,3.1922,0.2245,37.1883,20.8267,-1.7030,247.6677,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,271.2295,25.5490,25.3657,0.1833,24.8631,3.5851,2.6915,0.8936,34.4532,25.0338,2.7351,271.2295,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,296.7785,25.5929,25.3980,0.1949,25.0348,3.5181,2.7408,0.7773,33.9380,24.9816,0.5152,296.7785,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,322.3714,26.6590,26.4532,0.2058,25.8072,3.6222,2.7619,0.8603,33.3267,29.1741,0.6113,322.3714,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,349.0304,28.9027,28.6702,0.2325,27.9738,3.7431,2.8236,0.9195,35.8418,25.0118,-2.5151,349.0304,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,377.9331,26.7617,26.5237,0.2380,25.6982,4.1061,2.7825,1.3236,31.9509,29.1674,3.8909,377.9331,NA,NA,NA
