Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,22.3961,22.4901,22.3684,0.1217,22.1974,3.6414,3.2263,0.4151,36.3260,24.9973,NA,22.3961,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,44.8862,24.4559,24.3238,0.1321,24.1075,3.5350,2.9774,0.5576,38.8332,25.0193,-2.5072,44.8862,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,69.3421,25.9557,25.7769,0.1788,25.5544,3.5589,2.9934,0.5655,39.3966,29.1721,-0.5634,69.3421,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,95.2978,28.2019,28.0236,0.1783,27.5902,4.1506,3.2577,0.8929,42.6130,24.9922,-3.2164,95.2978,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,123.4997,25.3811,25.1941,0.1870,24.7879,4.1734,3.5034,0.6700,39.4033,29.1799,3.2097,123.4997,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,148.8808,28.0091,27.8122,0.1969,27.5709,4.1994,3.2467,0.9527,43.2021,25.0259,-3.7988,148.8808,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,176.8899,26.3959,26.2134,0.1825,25.5120,4.4391,3.1912,1.2479,40.2189,24.9792,2.9832,176.8899,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,203.2858,23.7130,23.5642,0.1488,23.3696,4.2846,3.5209,0.7637,38.8022,25.0070,1.4167,203.2858,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,226.9988,24.8582,24.6410,0.2172,24.4228,3.3887,3.0503,0.3384,40.0962,20.8365,-1.2940,226.9988,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,251.8570,23.6687,23.5039,0.1648,23.2983,3.7734,3.3518,0.4216,36.0745,25.0180,4.0217,251.8570,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,275.5257,24.3991,24.2253,0.1738,23.5803,4.0300,3.6036,0.4264,37.4238,24.9891,-1.3493,275.5257,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,299.9248,24.6727,24.4999,0.1728,24.2016,3.6143,3.0859,0.5284,38.0138,25.0094,-0.5900,299.9248,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,324.5975,23.2359,23.0397,0.1962,22.7285,3.7663,3.1589,0.6074,38.3505,20.8306,-0.3367,324.5975,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,347.8334,23.6654,23.4898,0.1756,22.7729,3.9062,3.0653,0.8409,35.9452,20.8450,2.4053,347.8334,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,371.4988,22.0356,21.8974,0.1382,21.6606,3.1445,2.8577,0.2868,33.1248,24.9940,2.8204,371.4988,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,393.5344,22.8200,22.7124,0.1076,22.3621,3.3186,2.9987,0.3199,36.0832,25.0076,-2.9584,393.5344,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,416.3544,23.3142,23.1898,0.1244,22.8134,3.1231,2.8432,0.2799,38.2708,20.8386,-2.1876,416.3544,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,439.6686,23.4140,23.2756,0.1384,23.0956,3.6455,3.4234,0.2221,35.7952,24.9952,2.4756,439.6686,NA,NA,NA
